,User ID,URL,Stars,Date,Review
18,19,gp:AOqpTOGPtT7Br6ya8koOcoqluciJLu9u445sUvu-22HEwC2SS5MZO-BJRl1_uMKj9XXKTWr497CIUYYOaPDDZsA,1,2020-12-21 03:32:13,Please stop showing up as soon as i open google play
19,20,gp:AOqpTOGh02EoOsqMlura1eIPqlUUBqI3dzfKdKn-obWoRRxzPdxKEQ2Dh6dzdN4Hn1YrewR8ripq5xWXuHdj620,5,2021-01-02 04:55:56,Good way to keep posted who sick got virus good app .
20,21,gp:AOqpTOEXpFzWKqcvTVmIhEkUD7BXsuDUPOuuDWSfBuUuUFQ-m28FdKt0J1HSzsfK0dOtiBtxsOE13Qhi3DCUoLU,5,2020-08-23 13:43:40,"With ND's depressing lack of proper response to COVID-19, I was afraid this might not exist for the area. Thank you."
21,22,gp:AOqpTOHCw9pRWFuyMoc6Ir-Va2uKtgPaOT7hSOQrLKTG4mkG8FYNbZ2x0t9awLrm0oukhe_VWykZmZkRt3njzqE,1,2020-10-31 22:35:47,"I dont live in the states that are provided, please add more states to this, and I will be an ambassador for the app."
22,23,gp:AOqpTOHOxpjNYJuU3dNT80loevvkXkBDUdlIr-5E0ImmIY7GfzqzWLs0c6uIj98DdV0MkRVvIlzM8ctBKCV9mfM,1,2020-11-22 19:34:00,App has stopped checking for recent exposures .
23,24,gp:AOqpTOFkCphqzEKMivmB1Uxzj7lnun_jHq_DswGDWigyNoxjKe2kHikgVqBVVTZxnYfYyQ5rQRBsl5YIpkl7yqM,1,2020-11-30 23:59:39,Shouldn't have any sort of tracker like this. If there isn't one for the flu or any other virus we shouldn't have it for this.
24,25,gp:AOqpTOGfyA6FfRmthi0z4VuSriIjEncF4KCA4yOqFMeqLiYPno-rQxh_AVxw8OVicpeaKc1uD2PGli6K1ORiDiI,1,2020-08-18 10:24:56,Should not have a location requirement! More coerced privacy invasion from Google APIs.
25,26,gp:AOqpTOF5D0U5nKrgwQGMkiMeqa-oOcvHXV0sfFKLbyLomR-tPORGU0wU1akIX1cr1Cgw_JYUoKY7Pssfu1P1hrs,5,2020-08-25 16:46:46,We all need to take positive action to control the spread of the virus. It is our responsibility to keep us all safe.
26,27,gp:AOqpTOH8ICumhPw3QnsbfnoqcUm81oQ0ygNf02Wba6xht_ZXg6MH1k-VeDfgBd8RvYIXuqBdNMK4VICx8hzFk7o,4,2020-09-09 15:36:08,"Add support for SD, please!"
27,28,gp:AOqpTOEnxlIV2hUrwAx3xarvz0_w3nQWvboMYiMgLXiYIy4dNVXMjELM0H4S3dNd19ERAsNBb0RJlEnl2yjyKMQ,5,2020-10-29 10:17:07,I love the app because I love it
